Case ID,Activity,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) creator,concept:name,lifecycle:transition
11,Start,2011/06/15 00:33:36.000,2011/06/15 00:33:36.000,Variant 1,1,Fluxicon Disco,Start,complete
11,personalhygiene,2011/06/15 00:33:36.000,2011/06/15 00:38:44.000,Variant 1,1,Fluxicon Disco,personalhygiene,complete
11,sleep,2011/06/15 00:45:24.000,2011/06/15 00:46:08.000,Variant 1,1,Fluxicon Disco,sleep,complete
11,toilet,2011/06/15 00:46:33.000,2011/06/15 02:40:14.000,Variant 1,1,Fluxicon Disco,toilet,complete
11,sleep,2011/06/15 06:49:58.000,2011/06/15 06:53:46.000,Variant 1,1,Fluxicon Disco,sleep,complete
11,eatingdrinking,2011/06/15 07:11:45.000,2011/06/15 07:23:08.000,Variant 1,1,Fluxicon Disco,eatingdrinking,complete
11,cleaning,2011/06/15 07:37:34.000,2011/06/15 07:38:35.000,Variant 1,1,Fluxicon Disco,cleaning,complete
11,dress,2011/06/15 07:39:03.000,2011/06/15 07:58:09.000,Variant 1,1,Fluxicon Disco,dress,complete
11,watchtv,2011/06/15 07:59:48.000,2011/06/15 08:50:24.000,Variant 1,1,Fluxicon Disco,watchtv,complete
11,outdoors,2011/06/15 08:53:04.000,2011/06/15 09:22:27.000,Variant 1,1,Fluxicon Disco,outdoors,complete
11,watchtv,2011/06/15 09:23:24.000,2011/06/15 10:10:35.000,Variant 1,1,Fluxicon Disco,watchtv,complete
11,snack,2011/06/15 10:12:02.000,2011/06/15 10:25:09.000,Variant 1,1,Fluxicon Disco,snack,complete
11,work,2011/06/15 10:25:32.000,2011/06/15 10:49:08.000,Variant 1,1,Fluxicon Disco,work,complete
11,outdoors,2011/06/15 10:51:11.000,2011/06/15 13:39:39.000,Variant 1,1,Fluxicon Disco,outdoors,complete
11,work,2011/06/15 13:46:37.000,2011/06/15 14:15:07.000,Variant 1,1,Fluxicon Disco,work,complete
11,watchtv,2011/06/15 14:15:34.000,2011/06/15 15:01:35.000,Variant 1,1,Fluxicon Disco,watchtv,complete
11,sleep,2011/06/15 15:02:01.000,2011/06/15 15:14:38.000,Variant 1,1,Fluxicon Disco,sleep,complete
11,snack,2011/06/15 15:16:06.000,2011/06/15 15:18:18.000,Variant 1,1,Fluxicon Disco,snack,complete
11,dress,2011/06/15 15:18:28.000,2011/06/15 15:55:12.000,Variant 1,1,Fluxicon Disco,dress,complete
11,outdoors,2011/06/15 15:57:05.000,2011/06/15 16:16:27.000,Variant 1,1,Fluxicon Disco,outdoors,complete
11,mealpreperation,2011/06/15 16:16:33.000,2011/06/15 16:18:52.000,Variant 1,1,Fluxicon Disco,mealpreperation,complete
11,watchtv,2011/06/15 16:22:45.000,2011/06/15 16:27:37.000,Variant 1,1,Fluxicon Disco,watchtv,complete
11,outdoors,2011/06/15 16:28:17.000,2011/06/15 16:45:06.000,Variant 1,1,Fluxicon Disco,outdoors,complete
11,watchtv,2011/06/15 16:46:44.000,2011/06/15 16:56:22.000,Variant 1,1,Fluxicon Disco,watchtv,complete
11,outdoors,2011/06/15 16:56:39.000,2011/06/15 18:16:57.000,Variant 1,1,Fluxicon Disco,outdoors,complete
11,watchtv,2011/06/15 18:17:09.000,2011/06/15 22:31:38.000,Variant 1,1,Fluxicon Disco,watchtv,complete
11,eatingdrinking,2011/06/15 22:33:24.000,2011/06/15 22:38:31.000,Variant 1,1,Fluxicon Disco,eatingdrinking,complete
11,dress,2011/06/15 22:38:57.000,2011/06/16 00:35:21.000,Variant 1,1,Fluxicon Disco,dress,complete
11,End,2011/06/16 00:35:21.000,2011/06/16 00:35:21.000,Variant 1,1,Fluxicon Disco,End,complete
21,Start,2011/06/16 00:35:54.000,2011/06/16 00:35:54.000,Variant 2,2,Fluxicon Disco,Start,complete
21,cleaning,2011/06/16 00:35:54.000,2011/06/16 00:38:10.000,Variant 2,2,Fluxicon Disco,cleaning,complete
21,watchtv,2011/06/16 00:38:49.000,2011/06/16 04:35:38.000,Variant 2,2,Fluxicon Disco,watchtv,complete
21,sleep,2011/06/16 04:35:39.000,2011/06/16 06:29:02.000,Variant 2,2,Fluxicon Disco,sleep,complete
21,watchtv,2011/06/16 06:29:50.000,2011/06/16 06:30:48.000,Variant 2,2,Fluxicon Disco,watchtv,complete
